Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
great,1.540000,483.917170,1538.506221,2240.484907,4551.027953
great,1.546250,529.898194,1489.373182,2218.718307,4542.289957
great,1.552500,556.449323,1564.987034,2016.668182,2135.144040
great,1.558750,558.288836,1468.936269,1870.633022,2800.968965
great,1.565000,565.774760,1436.214305,1846.899589,2866.216946
great,1.571250,567.624047,1326.912476,1812.446908,2794.754827
great,1.577500,570.411115,1211.849883,1828.539049,2816.514073
great,1.583750,585.386834,1261.060424,1844.813042,2871.251396
great,1.590000,614.611182,1833.352762,1914.422272,4277.507668
great,1.596250,654.977037,1833.152796,2061.207723,4292.678071
great,1.602500,674.599606,1837.045705,2160.672757,4278.547740
great,1.608750,667.972276,1269.066772,2074.586260,2088.540788
great,1.615000,687.809436,1248.798938,2118.540117,2271.033125
great,1.621250,657.036148,1135.971705,2072.644249,2443.310229
great,1.627500,630.294133,1166.120197,2087.216504,2480.339133
great,1.633750,471.456928,624.204918,2061.828933,2490.848815
great,1.640000,603.360082,2059.279558,2497.118399,3833.393179
great,1.646250,580.808323,1697.388577,2063.673778,2530.264445
great,1.652500,578.527152,2053.618421,2531.718022,3876.720251
great,1.658750,556.423433,2078.114797,2569.359085,3810.075416
great,1.665000,534.734491,1110.542617,2365.500641,2711.901055
great,1.671250,516.749440,1629.989505,2476.506598,2698.648333
great,1.677500,503.725061,2256.819799,2475.997194,2820.802321
great,1.683750,497.186163,2281.643102,2560.977391,2847.878129
great,1.690000,486.321450,2024.475532,2609.584175,2988.214398
great,1.696250,477.914319,2272.788931,2590.791201,3013.122377
great,1.702500,474.218130,1666.298522,2605.078062,3083.932960
great,1.708750,473.188174,2596.195468,3065.047547,4036.144572
great,1.715000,471.286580,2604.694579,3082.058519,4044.717246
great,1.721250,465.936081,2623.229846,3192.135332,3985.399147
great,1.727500,473.141835,2641.743550,3236.394725,3971.337732
great,1.733750,467.488043,2663.782276,3234.176232,3918.650505
great,1.740000,436.280856,2696.348487,3162.462613,3821.548189
great,1.746250,391.302993,2707.193384,3090.364797,3851.771608
great,1.752500,398.010375,2697.139463,3163.263132,3865.541274
great,1.758750,393.902604,2681.244099,3178.390677,3840.324783
great,1.765000,407.908557,2643.179078,3150.032545,3987.023650
great,1.771250,429.639554,2649.592955,3260.128303,4028.000945
great,1.777500,436.962012,2711.481916,3429.411902,4074.988561
great,1.783750,429.183482,2727.828065,3801.847418,4091.932827
great,1.790000,360.136934,2092.926431,2647.039400,3724.641263
great,1.796250,279.530621,2054.180072,2871.904576,4099.046134
great,1.802500,212.945253,2002.516883,3096.098249,4280.782644
great,1.808750,2122.271083,2244.782058,3902.520019,4866.130322
great,1.815000,723.062177,2104.483716,3548.217886,4525.243079
great,1.821250,419.056665,1942.538344,3285.158499,4398.538172
great,1.827500,575.007779,1835.313586,2845.728261,4061.710694
great,1.833750,648.085900,1859.699067,2897.998711,4080.367364
great,1.840000,628.196091,1887.546494,2969.631041,4033.658096
great,1.846250,616.394293,1765.860702,3132.574670,3895.120374
great,1.852500,678.419430,1717.462173,3286.998408,3693.776949
great,1.858750,737.096885,1935.270059,3132.147624,4757.098615
great,1.865000,742.581872,1748.176300,2706.564836,4050.304732
great,1.871250,827.235467,1816.320421,3043.374257,4116.240904
great,1.877500,873.058373,1864.396483,2831.963232,4191.783896
great,1.883750,903.883768,1825.572687,2767.866810,4269.173139
great,1.890000,895.215343,1894.471038,2976.432673,4487.971345
great,1.896250,867.747365,1994.604223,3076.540007,5237.355695
great,1.902500,862.419213,2147.805772,3083.850464,5123.700768
great,1.908750,844.220571,2213.210848,3052.348328,3740.185527
great,1.915000,870.121404,2128.418956,3082.436887,3974.688569
great,1.921250,1039.894110,2111.893472,3096.015852,3955.615495
great,1.927500,997.777699,2154.913445,3082.179271,4006.033869
great,1.933750,1101.932513,2192.088695,3101.458338,4098.152244
great,1.940000,1114.771299,2113.693792,3089.482508,4191.484741
great,1.946250,1060.894494,2037.392612,3053.739880,4224.235509
great,1.952500,1003.373516,2035.403581,3090.693145,4245.592447
great,1.958750,990.803405,2086.976727,3079.954294,4184.983023
great,1.965000,908.024040,2022.805108,3094.141624,4220.533144
great,1.971250,951.375805,2040.016992,3095.650614,4317.376279
great,1.977500,1020.038981,2022.441035,3064.644907,4308.116644
great,1.983750,982.435226,1854.531423,3085.074978,4244.167123
great,1.990000,995.477057,1805.012500,3082.624564,4220.380675
great,1.996250,1119.021372,1813.127215,3065.353148,4233.072935
great,2.002500,1072.127398,1829.385787,3036.182543,4310.196511
great,2.008750,1012.024711,1782.337220,3021.759594,4307.730893
great,2.015000,1074.452670,1747.843802,3057.663991,4363.472668
great,2.021250,1027.153117,1805.697188,3396.681302,4950.419999
great,2.027500,937.784948,1815.795753,3453.977018,5021.558705
great,2.033750,939.977680,1805.291745,3368.627056,5042.061242
great,2.040000,1010.438659,1831.709801,3485.946280,4460.303099
great,2.046250,1001.071901,1804.472158,2687.052570,4016.806570
great,2.052500,965.121021,1920.209774,3371.504852,3633.671700
great,2.058750,949.504249,1885.464696,3237.999557,4826.489358
great,2.065000,952.099972,1824.754305,3216.823785,3978.665573
great,2.071250,948.910297,1808.196797,3200.816940,3410.904556
great,2.077500,952.108952,1822.978779,3172.460274,4267.498709
great,2.083750,944.738666,1832.532803,3428.449321,4381.220327
great,2.090000,959.745211,1809.893778,3492.200091,4296.311350
great,2.096250,964.900185,1820.201245,3317.919546,4378.129599
great,2.102500,1005.217261,1808.020817,3415.315052,4406.892804
